"IdLink","channel_name","active","LinkID","SrcDetectorId","SrcLatitude","SrcLongitude","DestDetectorId","DestLatitude","DestLongitude","LinkName","RouteDirectionName","SrcChannelId","DestChannelId","LineDistance_m","last_poll_time"
272,"Saint-Denis-Sherbrooke",1,"LSh_30-96","30","45,517","-73,567445","96","45,51896","-73,56655","Sherbrooke: Saint-Denis a St-Hubert **","E",43,117,229,2019-07-02 18:44:57
273,"St-Hubert-Sherbrooke **",1,"LSh_96-30","96","45,51896","-73,56655","30","45,517","-73,567445","Sherbrooke: St-Hubert a Saint-Denis **","O",117,43,229,2019-07-02 18:44:57
274,"Sherbrooke-Parc-Bleury",1,"LBl_24-68","24","45,5083616666667","-73,5712783333333","68","45,5074833333333","-73,5695","Bleury: Sherbrooke a Président-Kennedy **","S",38,82,170,2018-09-26 06:07:02
275,"Président-Kennedy-Bleury **",1,"LBl_68-69","68","45,5074833333333","-73,5695","69","45,5063","-73,5669333333333","Bleury: Président-Kennedy a Ste-Catherine **","S",82,83,239,2019-07-02 18:44:59
276,"Ste-Catherine-Bleury **",1,"LBl_69-26","69","45,5063","-73,5669333333333","26","45,50525","-73,5646933333333","Bleury: St-Catherine a Rene-Levesque **","S",83,37,204,2019-07-02 18:45:02
277,"Sherbrooke-Parc-Bleury",1,"LSh_24-67","24","45,5083616666667","-73,5712783333333","67","45,5061333333333","-73,5726333333333","Sherbrooke: Bleury a Aylmer **","O",38,81,269,2018-09-26 06:07:02
278,"Aylmer-Sherbrooke **",1,"LSh_67-24","67","45,5061333333333","-73,5726333333333","24","45,5083616666667","-73,5712783333333","Sherbrooke: Aylmer a Bleury **","E",81,38,269,2019-07-02 18:45:00
279,"Saint-Denis-Sherbrooke",1,"LSh_30-95","30","45,517","-73,567445","95","45,5158333333333","-73,5679666666667","Sherbrooke: Saint-Denis a Sanguinet","O",43,109,136,2019-07-02 18:44:57
280,"Sherbrooke-Sanguinet **",1,"LSh_95-78","95","45,5158333333333","-73,5679666666667","78","45,5125166666667","-73,5694333333333","Sherbrooke: Sanguinet a St-Laurent","O",109,92,385,2019-07-02 18:44:56
281,"Sherbrooke-St-Laurent **",1,"LSh_78-79","78","45,5125166666667","-73,5694333333333","79","45,5110833333333","-73,57005","Sherbrooke: St-Laurent a St-Urbain","O",92,93,167,2019-07-02 18:44:13
282,"Sherbrooke-St-Urbain **",1,"LSh_79-72","79","45,5110833333333","-73,57005","72","45,5093333333333","-73,5708166666667","Sherbrooke: St-Urbain a Jeanne-Mance","O",93,86,204,2019-07-02 18:45:01
283,"Sherbrooke-Jeanne-Mance **",1,"LSh_72-24","72","45,5093333333333","-73,5708166666667","24","45,5083616666667","-73,5712783333333","Sherbrooke: Jeanne-Mance a Bleury","O",86,38,114,2019-07-02 18:44:59
284,"Sherbrooke-Parc-Bleury",1,"LSh_24-72","24","45,5083616666667","-73,5712783333333","72","45,5093333333333","-73,5708166666667","Sherbrooke: Bleury a Jeanne-Mance","E",38,86,114,2018-09-26 06:07:02
285,"Sherbrooke-Jeanne-Mance **",1,"LSh_72-79","72","45,5093333333333","-73,5708166666667","79","45,5110833333333","-73,57005","Sherbrooke: Jeanne-Mance a St-Urbain","E",86,93,204,2019-07-02 18:44:59
286,"Sherbrooke-St-Urbain **",1,"LSh_79-78","79","45,5110833333333","-73,57005","78","45,5125166666667","-73,5694333333333","Sherbrooke: St-Urbain a St-Laurent","E",93,92,167,2019-07-02 18:45:01
287,"Sherbrooke-St-Laurent **",1,"LSh_78-95","78","45,5125166666667","-73,5694333333333","95","45,5158333333333","-73,5679666666667","Sherbrooke: St-Laurent a Sanguinet","E",92,109,385,2019-07-02 18:44:13
